LocationType,Location,Race,TimeFrame,DataFormat,Income
County,Adams,American Indian and Alaska Native,2005-2009,Currency,"*$7,195"
County,Adams,American Indian and Alaska Native,2006-2010,Currency,"*$7,348"
County,Adams,American Indian and Alaska Native,2007-2011,Currency,"*$17,614"
County,Adams,American Indian and Alaska Native,2008-2012,Currency,6343
County,Adams,American Indian and Alaska Native,2009-2013,Currency,"*$6,806"
County,Adams,American Indian and Alaska Native,2010-2014,Currency,19135
County,Adams,American Indian and Alaska Native,2011-2015,Currency,S
County,Adams,American Indian and Alaska Native,2012-2016,Currency,20804
County,Adams,American Indian and Alaska Native,2013-2017,Currency,23990
County,Adams,American Indian and Alaska Native,2014-2018,Currency,24971
County,Adams,American Indian and Alaska Native,2015-2019,Currency,24656
County,Asotin,American Indian and Alaska Native,2005-2009,Currency,"*$27,344"
County,Asotin,American Indian and Alaska Native,2006-2010,Currency,"*$26,736"
County,Asotin,American Indian and Alaska Native,2007-2011,Currency,"*$26,944"
County,Asotin,American Indian and Alaska Native,2008-2012,Currency,"*$25,909"
County,Asotin,American Indian and Alaska Native,2009-2013,Currency,NA
County,Asotin,American Indian and Alaska Native,2010-2014,Currency,S
County,Asotin,American Indian and Alaska Native,2011-2015,Currency,S
County,Asotin,American Indian and Alaska Native,2012-2016,Currency,S
County,Asotin,American Indian and Alaska Native,2013-2017,Currency,S
County,Asotin,American Indian and Alaska Native,2014-2018,Currency,NA
County,Asotin,American Indian and Alaska Native,2015-2019,Currency,NA
County,Benton,American Indian and Alaska Native,2005-2009,Currency,"*$54,219"
County,Benton,American Indian and Alaska Native,2006-2010,Currency,"*$65,114"
County,Benton,American Indian and Alaska Native,2007-2011,Currency,"*$61,354"
County,Benton,American Indian and Alaska Native,2008-2012,Currency,"*$49,792"
County,Benton,American Indian and Alaska Native,2009-2013,Currency,"*$58,833"
County,Benton,American Indian and Alaska Native,2010-2014,Currency,39952
County,Benton,American Indian and Alaska Native,2011-2015,Currency,46842
County,Benton,American Indian and Alaska Native,2012-2016,Currency,49808
County,Benton,American Indian and Alaska Native,2013-2017,Currency,47844
County,Benton,American Indian and Alaska Native,2014-2018,Currency,NA
County,Benton,American Indian and Alaska Native,2015-2019,Currency,NA
County,Chelan,American Indian and Alaska Native,2005-2009,Currency,"*$80,063"
County,Chelan,American Indian and Alaska Native,2006-2010,Currency,"*$44,750"
County,Chelan,American Indian and Alaska Native,2007-2011,Currency,"*$24,605"
County,Chelan,American Indian and Alaska Native,2008-2012,Currency,"*$46,250"
County,Chelan,American Indian and Alaska Native,2009-2013,Currency,"*$48,333"
County,Chelan,American Indian and Alaska Native,2010-2014,Currency,49931
County,Chelan,American Indian and Alaska Native,2011-2015,Currency,54000
County,Chelan,American Indian and Alaska Native,2012-2016,Currency,56841
County,Chelan,American Indian and Alaska Native,2013-2017,Currency,67868
County,Chelan,American Indian and Alaska Native,2014-2018,Currency,49583
County,Chelan,American Indian and Alaska Native,2015-2019,Currency,NA
County,Clallam,American Indian and Alaska Native,2005-2009,Currency,"*$27,582"
County,Clallam,American Indian and Alaska Native,2006-2010,Currency,"*$31,283"
County,Clallam,American Indian and Alaska Native,2007-2011,Currency,"*$34,000"
County,Clallam,American Indian and Alaska Native,2008-2012,Currency,"*$37,534"
County,Clallam,American Indian and Alaska Native,2009-2013,Currency,"*$35,500"
County,Clallam,American Indian and Alaska Native,2010-2014,Currency,36463
County,Clallam,American Indian and Alaska Native,2011-2015,Currency,35402
County,Clallam,American Indian and Alaska Native,2012-2016,Currency,35705
County,Clallam,American Indian and Alaska Native,2013-2017,Currency,34528
County,Clallam,American Indian and Alaska Native,2014-2018,Currency,40000
County,Clallam,American Indian and Alaska Native,2015-2019,Currency,50031
County,Clark,American Indian and Alaska Native,2005-2009,Currency,"*$60,150"
County,Clark,American Indian and Alaska Native,2006-2010,Currency,"*$49,495"
County,Clark,American Indian and Alaska Native,2007-2011,Currency,"*$50,541"
County,Clark,American Indian and Alaska Native,2008-2012,Currency,"*$51,141"
County,Clark,American Indian and Alaska Native,2009-2013,Currency,"*$52,552"
County,Clark,American Indian and Alaska Native,2010-2014,Currency,55948
County,Clark,American Indian and Alaska Native,2011-2015,Currency,56803
County,Clark,American Indian and Alaska Native,2012-2016,Currency,63611
County,Clark,American Indian and Alaska Native,2013-2017,Currency,64896
County,Clark,American Indian and Alaska Native,2014-2018,Currency,75653
County,Clark,American Indian and Alaska Native,2015-2019,Currency,77734
County,Columbia,American Indian and Alaska Native,2005-2009,Currency,"*$51,250"
County,Columbia,American Indian and Alaska Native,2006-2010,Currency,"*$52,273"
County,Columbia,American Indian and Alaska Native,2007-2011,Currency,"*$74,792"
County,Columbia,American Indian and Alaska Native,2008-2012,Currency,"*$76,923"
County,Columbia,American Indian and Alaska Native,2009-2013,Currency,"*$76,319"
County,Columbia,American Indian and Alaska Native,2010-2014,Currency,78203
County,Columbia,American Indian and Alaska Native,2011-2015,Currency,S
County,Columbia,American Indian and Alaska Native,2012-2016,Currency,S
County,Columbia,American Indian and Alaska Native,2013-2017,Currency,S
County,Columbia,American Indian and Alaska Native,2014-2018,Currency,NA
County,Columbia,American Indian and Alaska Native,2015-2019,Currency,NA
County,Cowlitz,American Indian and Alaska Native,2005-2009,Currency,"*$35,577"
County,Cowlitz,American Indian and Alaska Native,2006-2010,Currency,"*$40,179"
County,Cowlitz,American Indian and Alaska Native,2007-2011,Currency,"*$36,406"
County,Cowlitz,American Indian and Alaska Native,2008-2012,Currency,"*$39,500"
County,Cowlitz,American Indian and Alaska Native,2009-2013,Currency,"*$31,594"
County,Cowlitz,American Indian and Alaska Native,2010-2014,Currency,30270
County,Cowlitz,American Indian and Alaska Native,2011-2015,Currency,42656
County,Cowlitz,American Indian and Alaska Native,2012-2016,Currency,53750
County,Cowlitz,American Indian and Alaska Native,2013-2017,Currency,50000
County,Cowlitz,American Indian and Alaska Native,2014-2018,Currency,NA
County,Cowlitz,American Indian and Alaska Native,2015-2019,Currency,61136
County,Douglas,American Indian and Alaska Native,2005-2009,Currency,"*$18,684"
County,Douglas,American Indian and Alaska Native,2006-2010,Currency,"*$31,250"
County,Douglas,American Indian and Alaska Native,2007-2011,Currency,"*$46,157"
County,Douglas,American Indian and Alaska Native,2008-2012,Currency,"*$20,729"
County,Douglas,American Indian and Alaska Native,2009-2013,Currency,"*$21,438"
County,Douglas,American Indian and Alaska Native,2010-2014,Currency,27708
County,Douglas,American Indian and Alaska Native,2011-2015,Currency,S
County,Douglas,American Indian and Alaska Native,2012-2016,Currency,76087
County,Douglas,American Indian and Alaska Native,2013-2017,Currency,S
County,Douglas,American Indian and Alaska Native,2014-2018,Currency,NA
County,Douglas,American Indian and Alaska Native,2015-2019,Currency,NA
County,Ferry,American Indian and Alaska Native,2005-2009,Currency,"*$31,979"
County,Ferry,American Indian and Alaska Native,2006-2010,Currency,"*$27,031"
County,Ferry,American Indian and Alaska Native,2007-2011,Currency,"*$24,809"
County,Ferry,American Indian and Alaska Native,2008-2012,Currency,24813
County,Ferry,American Indian and Alaska Native,2009-2013,Currency,"*$33,393"
County,Ferry,American Indian and Alaska Native,2010-2014,Currency,28500
County,Ferry,American Indian and Alaska Native,2011-2015,Currency,33906
County,Ferry,American Indian and Alaska Native,2012-2016,Currency,34861
County,Ferry,American Indian and Alaska Native,2013-2017,Currency,38036
County,Ferry,American Indian and Alaska Native,2014-2018,Currency,39500
County,Ferry,American Indian and Alaska Native,2015-2019,Currency,40375
County,Franklin,American Indian and Alaska Native,2005-2009,Currency,"*$24,688"
County,Franklin,American Indian and Alaska Native,2006-2010,Currency,"*$29,474"
County,Franklin,American Indian and Alaska Native,2007-2011,Currency,"*$43,190"
County,Franklin,American Indian and Alaska Native,2008-2012,Currency,"*$60,750"
County,Franklin,American Indian and Alaska Native,2009-2013,Currency,"*$12,246"
County,Franklin,American Indian and Alaska Native,2010-2014,Currency,12474
County,Franklin,American Indian and Alaska Native,2011-2015,Currency,S
County,Franklin,American Indian and Alaska Native,2012-2016,Currency,S
County,Franklin,American Indian and Alaska Native,2013-2017,Currency,39444
County,Franklin,American Indian and Alaska Native,2014-2018,Currency,44737
County,Franklin,American Indian and Alaska Native,2015-2019,Currency,45000
County,Garfield,American Indian and Alaska Native,2005-2009,Currency,NA
County,Garfield,American Indian and Alaska Native,2006-2010,Currency,NA
County,Garfield,American Indian and Alaska Native,2007-2011,Currency,NA
County,Garfield,American Indian and Alaska Native,2008-2012,Currency,NA
County,Garfield,American Indian and Alaska Native,2009-2013,Currency,NA
County,Garfield,American Indian and Alaska Native,2010-2014,Currency,S
County,Garfield,American Indian and Alaska Native,2011-2015,Currency,S
County,Garfield,American Indian and Alaska Native,2012-2016,Currency,S
County,Garfield,American Indian and Alaska Native,2013-2017,Currency,S
County,Garfield,American Indian and Alaska Native,2014-2018,Currency,NA
County,Garfield,American Indian and Alaska Native,2015-2019,Currency,NA
County,Grant,American Indian and Alaska Native,2005-2009,Currency,"*$23,320"
County,Grant,American Indian and Alaska Native,2006-2010,Currency,"*$24,625"
County,Grant,American Indian and Alaska Native,2007-2011,Currency,"*$31,563"
County,Grant,American Indian and Alaska Native,2008-2012,Currency,"*$55,781"
County,Grant,American Indian and Alaska Native,2009-2013,Currency,"*$42,188"
County,Grant,American Indian and Alaska Native,2010-2014,Currency,47656
County,Grant,American Indian and Alaska Native,2011-2015,Currency,S
County,Grant,American Indian and Alaska Native,2012-2016,Currency,S
County,Grant,American Indian and Alaska Native,2013-2017,Currency,30000
County,Grant,American Indian and Alaska Native,2014-2018,Currency,44063
County,Grant,American Indian and Alaska Native,2015-2019,Currency,54188
County,Grays Harbor,American Indian and Alaska Native,2005-2009,Currency,"*$47,759"
County,Grays Harbor,American Indian and Alaska Native,2006-2010,Currency,"*$39,129"
County,Grays Harbor,American Indian and Alaska Native,2007-2011,Currency,"*$36,827"
County,Grays Harbor,American Indian and Alaska Native,2008-2012,Currency,"*$32,241"
County,Grays Harbor,American Indian and Alaska Native,2009-2013,Currency,"*$37,361"
County,Grays Harbor,American Indian and Alaska Native,2010-2014,Currency,35125
County,Grays Harbor,American Indian and Alaska Native,2011-2015,Currency,31357
County,Grays Harbor,American Indian and Alaska Native,2012-2016,Currency,33750
County,Grays Harbor,American Indian and Alaska Native,2013-2017,Currency,37292
County,Grays Harbor,American Indian and Alaska Native,2014-2018,Currency,38393
County,Grays Harbor,American Indian and Alaska Native,2015-2019,Currency,51346
County,Island,American Indian and Alaska Native,2005-2009,Currency,"*$57,875"
County,Island,American Indian and Alaska Native,2006-2010,Currency,"*$76,688"
County,Island,American Indian and Alaska Native,2007-2011,Currency,"*$79,750"
County,Island,American Indian and Alaska Native,2008-2012,Currency,"*$69,531"
County,Island,American Indian and Alaska Native,2009-2013,Currency,"*$51,250"
County,Island,American Indian and Alaska Native,2010-2014,Currency,51442
County,Island,American Indian and Alaska Native,2011-2015,Currency,57868
County,Island,American Indian and Alaska Native,2012-2016,Currency,72563
County,Island,American Indian and Alaska Native,2013-2017,Currency,50577
County,Island,American Indian and Alaska Native,2014-2018,Currency,NA
County,Island,American Indian and Alaska Native,2015-2019,Currency,46500
County,Jefferson,American Indian and Alaska Native,2005-2009,Currency,"*$50,833"
County,Jefferson,American Indian and Alaska Native,2006-2010,Currency,"*$51,250"
County,Jefferson,American Indian and Alaska Native,2007-2011,Currency,"*$49,583"
County,Jefferson,American Indian and Alaska Native,2008-2012,Currency,51406
County,Jefferson,American Indian and Alaska Native,2009-2013,Currency,"*$51,705"
County,Jefferson,American Indian and Alaska Native,2010-2014,Currency,50313
County,Jefferson,American Indian and Alaska Native,2011-2015,Currency,53790
County,Jefferson,American Indian and Alaska Native,2012-2016,Currency,41000
County,Jefferson,American Indian and Alaska Native,2013-2017,Currency,S
County,Jefferson,American Indian and Alaska Native,2014-2018,Currency,34375
County,Jefferson,American Indian and Alaska Native,2015-2019,Currency,70938
County,King,American Indian and Alaska Native,2005-2009,Currency,"*$44,544"
County,King,American Indian and Alaska Native,2006-2010,Currency,"*$44,954"
County,King,American Indian and Alaska Native,2007-2011,Currency,"*$54,063"
County,King,American Indian and Alaska Native,2008-2012,Currency,"*$51,094"
County,King,American Indian and Alaska Native,2009-2013,Currency,"*$49,224"
County,King,American Indian and Alaska Native,2010-2014,Currency,47254
County,King,American Indian and Alaska Native,2011-2015,Currency,50483
County,King,American Indian and Alaska Native,2012-2016,Currency,47500
County,King,American Indian and Alaska Native,2013-2017,Currency,52090
County,King,American Indian and Alaska Native,2014-2018,Currency,53988
County,King,American Indian and Alaska Native,2015-2019,Currency,56893
County,Kitsap,American Indian and Alaska Native,2005-2009,Currency,"*$39,375"
County,Kitsap,American Indian and Alaska Native,2006-2010,Currency,"*$44,375"
County,Kitsap,American Indian and Alaska Native,2007-2011,Currency,"*$48,050"
County,Kitsap,American Indian and Alaska Native,2008-2012,Currency,53294
County,Kitsap,American Indian and Alaska Native,2009-2013,Currency,"*$53,162"
County,Kitsap,American Indian and Alaska Native,2010-2014,Currency,55554
County,Kitsap,American Indian and Alaska Native,2011-2015,Currency,55345
County,Kitsap,American Indian and Alaska Native,2012-2016,Currency,61667
County,Kitsap,American Indian and Alaska Native,2013-2017,Currency,59293
County,Kitsap,American Indian and Alaska Native,2014-2018,Currency,61976
County,Kitsap,American Indian and Alaska Native,2015-2019,Currency,72000
County,Kittitas,American Indian and Alaska Native,2005-2009,Currency,"*$30,547"
County,Kittitas,American Indian and Alaska Native,2006-2010,Currency,"*$30,069"
County,Kittitas,American Indian and Alaska Native,2007-2011,Currency,"*$71,600"
County,Kittitas,American Indian and Alaska Native,2008-2012,Currency,"*$74,076"
County,Kittitas,American Indian and Alaska Native,2009-2013,Currency,"*$75,083"
County,Kittitas,American Indian and Alaska Native,2010-2014,Currency,75000
County,Kittitas,American Indian and Alaska Native,2011-2015,Currency,62045
County,Kittitas,American Indian and Alaska Native,2012-2016,Currency,64457
County,Kittitas,American Indian and Alaska Native,2013-2017,Currency,64837
County,Kittitas,American Indian and Alaska Native,2014-2018,Currency,88875
County,Kittitas,American Indian and Alaska Native,2015-2019,Currency,74402
County,Klickitat,American Indian and Alaska Native,2005-2009,Currency,"*$19,375"
County,Klickitat,American Indian and Alaska Native,2006-2010,Currency,"*$18,662"
County,Klickitat,American Indian and Alaska Native,2007-2011,Currency,"*$18,750"
County,Klickitat,American Indian and Alaska Native,2008-2012,Currency,"*$18,919"
County,Klickitat,American Indian and Alaska Native,2009-2013,Currency,"*$28,468"
County,Klickitat,American Indian and Alaska Native,2010-2014,Currency,29286
